ID,i
347116,414465
347170,414462
347583,418904
348345,417353
348646,422399
349201,418058
350733,426514
350788,421171
351374,421502
352454,423102
353591,424171
354636,426414
355207,427461
355258,427257
355442,428379
355652,428188
355689,427787
357380,430282
357507,431612
357753,431798
357858,432837
358432,432356
358710,432729
359499,434332
359852,435101
361705,438290
362263,438971
364166,441819
365069,443713
367307,447912
367739,448318
367943,450233
368267,450768
368360,449454
370555,452207
370646,455303
371004,452870
371168,453303
372011,455870
372213,455136
372362,455114
372880,456250
373275,457143
373593,457550
373875,457997
374455,458837
374747,459171
375741,461160
375903,461528
376219,461683
377133,462424
377949,464234
378385,465451
378500,466266
379302,466573
379362,467566
379763,470994
379813,468101
380734,469315
380982,470102
381137,471535
381564,470265
381621,469705
381750,470450
382018,471054
383151,472680
383384,473814
383801,473946
383817,473613
383885,473932
383898,474055
384414,476002
385456,476814
385941,477205
386137,477420
386177,478003
386478,478388
386536,477923
386731,478997
388379,479997
388477,481106
388484,479792
388646,481181
389447,485501
389782,483209
390895,485307
391416,486115
391652,487032
391670,486383
391905,486925
392225,487244
392925,488257
393236,489219
393604,489303
393765,490090
393844,490023
393849,490081
393866,490374
394239,491304
397321,496096
397900,499870
398571,496883
398904,498286
399685,499835
399796,500079
399921,499011
400613,500980
400634,501577
400930,501955
401148,502094
402040,502237
402319,504036
402948,505355
403162,505360
403419,505905
404028,506867
404105,506700
405233,508393
405548,509702
407347,511591
407780,512777
408043,513912
408333,512990
408440,513818
408538,514275
408968,514443
409604,515671
411160,517818
411306,517355
411643,519438
412346,520946
413642,522490
413764,522285
413854,522260
414248,523206
414685,524650
414773,524365
415112,524615
415138,524289
415238,524378
415245,524195
415386,525096
415424,525419
415440,524779
415920,524896
416000,525279
416902,527290
418230,529199
418904,533141
419128,531356
419166,530950
419216,531223
419317,531818
419634,532055
420086,532490
420196,532346
420622,533939
420643,534863
420847,533484
421107,534261
422500,537139
422734,536934
423348,542688
423522,537038
424880,540283
424992,539428
425170,541835
425194,541314
425225,547498
425530,541364
426055,544415
426145,542726
426494,543201
426654,544329
426798,546308
427367,544860
427683,547220
428262,545395
428515,547226
428787,547296
428823,547593
429443,553225
429502,547975
429677,548541
430921,551369
431659,551754
432314,557122
433236,555234
433259,555352
433662,556183
433721,556914
433827,555687
434455,557833
434477,557277
434653,557288
435462,559616
435741,559318
436699,561264
436966,561455
436998,562259
437094,562724
437780,562537
437924,563239
438119,563368
438137,563919
438138,563002
438623,563699
438627,568802
438652,564084
440129,566971
440292,567660
440565,567371
441487,569326
442022,570047
442236,570699
442365,571197
442374,570625
442499,573199
443133,572220
443852,573452
443935,573543
445280,577044
445312,576586
445448,576382
445486,575865
445878,576541
446143,577128
447092,579897
447171,579307
447224,578704
447837,580657
448160,585342
448282,581345
448318,583042
448411,580559
448517,581779
448782,581892
448996,581993
449276,583902
449364,582718
450055,584375
450105,584603
451554,586689
452058,587525
452169,587725
452180,587195
452901,589033
453781,590268
453789,590665
453882,590583
454474,590911
454808,592122
454812,593049
