ID,i
526303,3858
526398,1030
526818,2213
527724,1314
527892,1402
528135,379
528339,1324
529336,1989
529468,1205
529855,1172
530363,990
530790,1223
530939,3857
530967,1269
531775,202
532152,820
532321,1001
532384,983
532685,933
532786,60
533239,1452
533666,1996
533672,203
534026,1391
534119,88
534189,391
534215,149
534240,851
534286,3417
534811,1280
534850,1513
534983,994
535659,827
536192,997
536630,1659
536989,386
537279,734
537336,2811
537639,1303
537774,1215
537785,169
538906,1027
539141,920
539307,1161
539583,3871
539656,1308
539736,2091
540730,66
540943,925
541230,2555
541434,728
541830,56
541990,178
542389,1357
543535,1224
544403,3852
545088,3854
545954,67
546656,1225
546685,1059
546921,3578
547078,1661
547306,1098
547352,1662
547543,61
547611,979
548180,1316
548369,2866
549281,3154
549460,70
549557,1226
549632,837
549676,1657
550062,1687
550101,527
550246,3865
551328,957
551649,440
551692,742
551738,937
551941,439
551947,83
552411,1291
552419,1228
553873,1213
553928,1067
554257,525
554361,929
554731,1412
555396,941
555407,1300
555440,3851
556119,1219
556169,1306
556928,958
556971,2872
557190,1450
558222,139
558556,954
558647,1685
558793,3153
558958,1665
559688,1622
560331,980
560530,943
561143,2106
561709,65
561903,1524
561934,2819
562802,1592
564150,152
564498,658
564716,188
564821,836
565276,1194
565402,2088
565763,179
565978,2002
566698,250
566857,1311
567121,1664
567432,960
567435,1301
567452,945
568506,1227
568616,1663
569294,75
569318,72
569893,2108
570129,962
570617,150
571036,1222
571990,2095
572088,2005
572384,2099
572704,1318
572751,1111
573007,144
573553,3695
574892,1221
575531,2586
575534,142
575696,1202
575697,2814
576066,1683
576750,1587
576870,1459
577597,1319
577692,1469
577999,1451
578092,2000
578239,2102
578268,180
578726,918
579394,3863
579415,951
579765,2783
580157,387
580231,952
580800,2812
580861,3862
580884,1466
580915,950
581105,1677
581118,3420
581125,171
581391,516
581456,390
581549,3861
582204,353
582749,3856
583094,3698
583448,2867
583485,1682
584085,176
584970,1481
585366,1317
585642,1214
586341,923
586685,1150
586891,1676
587486,3942
589008,137
589540,2105
589797,388
590037,1310
590120,2104
590258,1434
590391,1523
590550,858
591069,1681
591165,1999
591842,1684
592177,1220
592667,2100
592797,2098
593404,1201
593532,948
593620,1678
594392,2101
594434,2103
594617,1198
595487,676
596188,660
596295,2128
597002,128
597451,2122
598015,1646
598079,1426
599333,381
599915,866
599948,1200
600755,2097
601036,1619
601457,1449
601946,1528
603571,1421
603725,3848
604416,1448
605055,847
605093,2556
605241,966
605445,1655
605519,1203
605961,174
606414,1373
606447,862
607000,949
607093,3859
607340,153
607561,646
607674,300
607759,316
608549,2820
608954,130
609017,971
609216,126
609513,146
609728,648
610343,656
610703,1675
610782,1468
610794,863
611189,2096
611879,124
612129,3371
612897,247
