# ID,Lx_corr,log_Lx_int,log_Lx_obs,group
301995,0.186705,43.804844,43.076000,BLU
302660,0.881365,43.814842,43.759998,BLU
303796,0.736473,44.674843,44.542000,BLU
304319,0.683000,43.339579,43.174000,BLU
304439,1.018957,43.524845,43.533001,BLU
305043,0.944406,43.724842,43.700001,BLU
305831,0.177075,43.874844,43.123001,BLU
305859,0.578000,44.013074,43.775002,BLU
306945,0.639965,43.664845,43.471001,BLU
308547,0.594000,43.009215,42.783001,BLU
308866,1.000000,43.175999,43.175999,BLU
309395,0.633000,43.692596,43.493999,BLU
310302,0.933593,43.854843,43.825001,BLU
310572,0.225503,44.614845,43.967998,BLU
310636,0.310568,44.994843,44.487000,BLU
311121,1.000000,43.889999,43.889999,BLU
311176,0.473321,44.424843,44.099998,BLU
311305,0.557384,44.074844,43.820999,BLU
311789,1.000000,43.145000,43.145000,BLU
311831,0.677881,44.164845,43.995998,BLU
311910,0.606956,44.084843,43.868000,BLU
312655,0.594000,43.435213,43.209000,BLU
312742,0.393693,44.034844,43.630001,BLU
313813,0.579638,43.964844,43.728001,BLU
314243,0.167942,44.974842,44.200001,BLU
316436,0.311284,44.024845,43.518002,BLU
316931,0.946582,44.214844,44.191002,BLU
318129,0.485000,43.669258,43.355000,BLU
319169,0.246125,43.164845,42.556000,BLU
319398,0.436000,43.940515,43.580002,BLU
319543,0.487704,44.224842,43.912998,BLU
319595,0.662000,43.571140,43.391998,BLU
320331,0.516604,43.994843,43.708000,BLU
320435,1.000000,43.174000,43.174000,BLU
321383,0.497000,44.041643,43.737999,BLU
321469,0.790000,43.779371,43.676998,BLU
322871,0.629732,43.014843,42.813999,BLU
323189,0.503681,44.464844,44.167000,BLU
323420,1.000000,43.449001,43.449001,BLU
323559,0.348463,44.524845,44.067001,BLU
323983,0.428000,43.042556,42.674000,BLU
324525,0.792783,44.044846,43.944000,BLU
325165,0.626835,43.864845,43.661999,BLU
325593,0.654869,43.594845,43.410999,BLU
326082,0.849488,44.054844,43.984001,BLU
326894,0.687313,44.684845,44.521999,BLU
327459,0.437678,43.594845,43.236000,BLU
328702,0.798283,44.004845,43.907002,BLU
328867,0.615000,44.347126,44.136002,BLU
328963,0.600007,44.124844,43.903000,BLU
329946,1.000000,43.266998,43.266998,BLU
332003,0.425749,43.914845,43.543999,BLU
332248,0.233430,43.664845,43.033001,BLU
332304,1.000000,43.276001,43.276001,BLU
333310,0.749000,44.041519,43.916000,BLU
333771,0.212890,43.854843,43.182999,BLU
333779,0.491000,43.868920,43.560001,BLU
336058,0.498000,43.347769,43.044998,BLU
336111,4.189459,43.714844,44.337002,BLU
336272,0.626000,43.070426,42.867001,BLU
336469,0.469000,43.138829,42.810001,BLU
336686,0.431673,43.524845,43.160000,BLU
336913,0.670000,43.666925,43.493000,BLU
337029,0.618234,44.044846,43.835999,BLU
337827,0.871274,43.354843,43.294998,BLU
338071,0.035331,44.694843,43.243000,BLU
338977,0.416000,43.234907,42.854000,BLU
339051,0.456201,43.974842,43.633999,BLU
339463,0.587000,43.034363,42.803001,BLU
339913,0.061824,44.284844,43.076000,BLU
341626,0.641439,43.674843,43.481998,BLU
342090,0.376840,44.214844,43.791000,BLU
342161,0.390000,43.641937,43.233002,BLU
342318,0.543442,44.114845,43.849998,BLU
342418,1.000000,43.304001,43.304001,BLU
342489,0.669000,43.029573,42.855000,BLU
342587,0.778315,43.054844,42.945999,BLU
343403,0.521381,44.304844,44.021999,BLU
344505,0.116723,43.834843,42.902000,BLU
344632,0.129764,43.984844,43.098000,BLU
346035,0.820650,43.584843,43.499001,BLU
346257,1.000000,43.296001,43.296001,BLU
347011,0.431673,44.664845,44.299999,BLU
347116,0.301409,43.554844,43.034000,BLU
347170,0.800122,44.274845,44.178001,BLU
347583,0.867273,44.154842,44.092998,BLU
348646,0.375970,43.434845,43.009998,BLU
349201,0.714754,43.514843,43.368999,BLU
350788,0.190614,43.804844,43.084999,BLU
351374,1.000000,44.168999,44.168999,BLU
353169,0.385000,43.219540,42.805000,BLU
354636,0.386504,43.954846,43.542000,BLU
355207,0.716400,43.924843,43.779999,BLU
355258,0.406587,44.254845,43.863998,BLU
355442,0.792790,44.354843,44.254002,BLU
355652,0.460420,44.054844,43.717999,BLU
355689,0.654000,43.186421,43.001999,BLU
357380,0.700000,43.842902,43.688000,BLU
357507,0.349265,44.194843,43.737999,BLU
357753,0.251278,44.524845,43.924999,BLU
357858,0.238317,43.944843,43.321999,BLU
358659,1.000000,43.344002,43.344002,BLU
358710,0.656000,43.478094,43.294998,BLU
359499,0.566446,44.194843,43.948002,BLU
359852,0.522000,43.153328,42.870998,BLU
361363,0.040753,44.194843,42.805000,BLU
362263,0.485000,43.906257,43.591999,BLU
362336,0.540000,43.403608,43.136002,BLU
362713,1.000000,43.730999,43.730999,BLU
364166,0.552277,43.264843,43.007000,BLU
364976,1.000000,43.687000,43.687000,BLU
365069,1.000000,43.379002,43.379002,BLU
366762,1.000000,43.250999,43.250999,BLU
367307,0.682584,44.044846,43.879002,BLU
367586,1.000000,43.422001,43.422001,BLU
367943,0.405656,44.424843,44.033001,BLU
368343,1.000000,43.306000,43.306000,BLU
368582,0.264943,43.114845,42.537998,BLU
370555,0.409408,43.544846,43.157002,BLU
370646,0.509511,43.684845,43.391998,BLU
371004,0.664000,43.484831,43.306999,BLU
372011,0.556103,44.024845,43.770000,BLU
372213,0.524993,43.684845,43.404999,BLU
372362,1.000000,43.353001,43.353001,BLU
372880,1.000000,43.268002,43.268002,BLU
372910,0.589000,43.112884,42.882999,BLU
373593,0.573001,43.644844,43.403000,BLU
373875,0.820650,43.444843,43.359001,BLU
374455,0.595879,44.304844,44.080002,BLU
375741,0.166401,44.894844,44.116001,BLU
375903,1.000000,43.120998,43.120998,BLU
376219,0.606956,44.494843,44.278000,BLU
376362,0.459362,43.194843,42.856998,BLU
376887,0.572000,43.846604,43.604000,BLU
377133,0.718051,43.504845,43.361000,BLU
377949,1.169922,43.984844,44.053001,BLU
