ID,i
571990,785244
572384,794325
572704,787005
573530,787638
575696,791657
576870,793256
577243,793840
577692,794633
577955,795115
577999,795132
579415,798201
580231,799009
580386,799471
580861,800610
580884,800463
581105,802695
582580,802940
582749,804018
583641,804983
585366,808299
585642,808399
586341,809632
586685,810440
587450,811351
587486,811170
589074,815347
589289,813829
592619,821152
592667,820368
592797,820113
592950,820530
593404,823934
594084,822163
594434,823051
595317,824356
595487,824944
596663,826516
598007,829312
599948,832372
600384,832634
600601,833403
603779,838605
605445,841138
606414,843016
608176,845491
608549,845773
609017,845965
611907,852713
613328,854252
613543,854324
614402,855734
616159,858598
616983,860933
617270,860945
617702,862168
617775,861349
618028,861391
618600,862969
619550,866063
620323,865640
623618,871047
624239,872134
624284,875623
624526,873727
624608,873840
625004,873867
625792,874641
627449,878355
627823,879942
629776,880688
630435,881906
630484,882774
630503,873052
631272,882962
631339,883779
631511,884078
632339,885362
633300,887414
634499,888901
635245,891244
635784,891147
635862,898484
636324,892150
637404,894763
639429,896450
640026,897606
640145,898820
640360,899309
640443,901087
641847,901741
642407,903516
643101,903477
643223,903004
643313,903567
643480,903233
643581,903739
644795,906770
645978,908340
646384,909963
646790,908823
648114,914418
648173,911717
648762,912425
650908,915798
652010,917441
654154,920280
654576,922409
656427,925314
656621,924785
657703,926510
661164,931675
661442,933404
662715,934477
663103,935337
663735,936669
664407,937435
665479,939483
665603,939487
666394,944132
666570,941583
666872,942294
668515,944078
669251,945064
670310,947323
670392,947150
670897,948713
672158,950104
672635,951038
673312,955191
673600,951323
674119,955649
675269,955442
676097,957859
676685,957958
676717,958026
677305,958834
677506,959191
677692,960579
678533,961129
678793,961335
679317,962085
679413,962264
679793,962788
680726,964182
681237,964985
681303,964984
683219,967877
683578,968253
683931,968770
684158,969451
684508,970228
686231,972753
687071,974180
687898,975609
688136,976454
688457,977791
688845,977209
689518,977691
689768,978960
690669,980389
690687,979507
690971,980578
691473,981852
692655,983171
692737,984228
692950,984045
693220,984502
694697,986734
695445,988382
695834,988782
698041,991940
698738,993423
698831,993128
698983,994586
699088,993772
700458,996007
701418,996837
703122,1000297
705542,1004575
706011,1004469
706615,1005785
707749,1007631
709134,1011326
709137,1008915
709504,1010623
709713,1012329
709816,1010217
711091,1013154
711692,1014351
711809,1014561
713253,1016667
714401,1019202
714907,1019602
715680,1020825
717817,1025331
719096,1026577
719155,1026707
719811,1027499
720095,1030161
720578,1028704
720608,1029215
721789,1030817
722533,1036749
724890,1035472
725161,1041561
725672,1036755
725685,1037918
726363,1037842
726507,1038095
726941,1038883
726986,1039921
729557,1042601
729570,1043217
732463,1045683
733581,1050347
733937,1049968
734276,1050431
734723,1051798
734769,1051392
734950,1051657
735335,1052287
736288,1054201
737008,1054817
737473,1057074
738308,1055508
739064,1057938
743704,1064885
746850,1069811
747295,1070780
747850,1071621
748454,1073357
748479,1072827
750623,1076426
750927,1076352
751736,1078035
752983,1080227
753049,1079857
754369,1080846
754797,1083029
754804,1082720
754996,1083057
755017,1083365
755554,1084471
757535,1087720
757715,1088076
759628,1091064
761586,1093945
761839,1094356
763569,1097028
763929,1102333
764269,1097414
765037,1099622
765901,1100635
766678,1101743
767177,1102906
768071,1102767
770366,1108038
770406,1107615
772453,1111199
773923,1113741
775204,1115289
775365,1115959
775958,1116583
776222,1117100
776400,1119238
776479,1117766
777034,1118716
778213,1123824
778366,1122018
779075,1122335
779091,1122903
779324,1122098
780589,1125001
780916,1125628
782146,1126987
782363,1132892
782462,1127094
782508,1128466
