ID,Group,z,Kelly_Lx,Auge_Lx
495257,BLU,1.446000,43.760000,43.744843
495303,BLU,1.231000,44.116238,44.124844
495324,GRN,1.356000,44.159466,44.554844
495819,BLU,2.009000,43.937760,44.254845
495826,BLU,0.962000,43.104420,43.534844
495949,BLU,1.178000,43.637440,44.074844
495977,BLU,2.813000,44.261000,44.414845
496984,BLU,2.062000,44.321000,44.544846
496985,GRN,1.808000,44.481365,44.844845
496988,GRN,1.247000,43.142525,43.142527
497397,GRN,0.840000,43.577076,43.784844
497789,BLU,0.965000,43.034000,43.634842
498062,BLU,0.893000,43.532000,43.514843
498248,BLU,1.506000,43.354000,43.680979
498351,GRN,1.471000,43.446125,43.446124
498569,GRN,2.016000,44.273000,44.444843
498946,BLU,1.177000,43.084000,43.084000
499247,GRN,1.195000,43.907910,43.944843
500105,RED,2.764700,-99.000000,nan
500252,GRN,2.206000,44.605824,44.734844
500354,RED,1.935100,-99.000000,nan
500438,GRN,1.010000,43.279000,43.474842
500685,BLU,1.261000,43.754570,44.114845
500820,RED,1.037600,-99.000000,nan
501080,BLU,1.225000,43.739986,43.864845
501683,BLU,2.093000,43.704178,43.704178
502020,RED,2.628100,-99.000000,nan
502241,GRN,0.904000,43.751130,43.834843
502297,GRN,1.883000,44.295710,44.474842
502321,GRN,2.018000,44.769000,44.874844
502554,GRN,2.325000,44.163204,44.194843
503405,BLU,1.449000,43.300000,43.716800
503415,GRN,1.725000,44.180912,44.154842
503528,BLU,2.622000,43.948883,43.948883
503825,BLU,1.001000,43.254368,43.404842
503898,BLU,2.244000,44.426304,44.634842
503996,RED,0.970800,-99.000000,nan
504186,RED,0.987400,-99.000000,nan
504794,BLU,2.051000,43.536835,43.536833
505102,GRN,1.091000,43.522000,43.474842
505140,BLU,1.857000,43.664000,44.274845
505243,BLU,0.678000,43.492000,43.574844
505480,GRN,1.984000,44.341520,44.574844
506033,RED,0.619000,42.983000,43.104843
506105,BLU,1.856000,43.390000,43.854843
506438,BLU,2.224000,44.141600,44.614845
506629,BLU,1.732000,43.680676,43.680674
506854,GRN,0.552000,43.474000,43.434845
507179,GRN,2.650000,43.832000,43.832001
507746,BLU,0.424000,43.230900,43.514843
508074,BLU,0.340000,43.614310,43.624844
508095,BLU,1.907000,43.362000,43.362000
508208,BLU,1.332000,43.226780,43.226779
508514,GRN,2.668000,44.400000,44.484844
509017,RED,2.795600,-99.000000,nan
509367,RED,3.166300,-99.000000,nan
510152,GRN,1.226000,44.157000,44.214844
510223,GRN,1.379000,44.419678,44.804844
510520,BLU,1.321000,44.204727,44.314842
510870,BLU,0.846000,43.561000,43.854843
510871,GRN,3.010000,44.237000,44.464844
510949,BLU,1.882000,44.029000,44.174843
511201,BLU,1.257000,44.004444,44.084843
511632,BLU,2.042000,44.073000,44.284844
511633,BLU,1.498000,43.500000,44.154842
511933,BLU,1.333000,43.004000,43.298994
511953,BLU,0.889000,43.100000,43.104843
512031,BLU,1.265000,43.694904,44.494843
512384,GRN,3.148000,44.429424,44.429426
512397,RED,2.166100,-99.000000,nan
512727,BLU,1.798000,43.352000,45.344845
512778,GRN,1.452000,43.477670,43.477671
512840,GRN,2.029000,44.686000,44.794846
513139,BLU,1.424000,43.171000,43.171001
513787,BLU,0.659000,43.324177,43.694843
513984,GRN,3.320000,44.531000,44.714844
514657,BLU,0.675000,43.386000,43.304844
514705,GRN,2.802000,44.703000,44.934845
515190,RED,3.981600,-99.000000,nan
515652,BLU,2.090000,43.524000,43.523998
515989,BLU,1.453000,43.695260,43.695259
516101,GRN,2.902000,44.362263,44.884842
516147,GRN,2.404000,44.766000,44.954846
516177,GRN,1.234000,44.190000,44.314842
516335,BLU,0.843000,43.778000,43.864845
516624,BLU,0.812000,43.338722,43.764843
516767,BLU,1.627000,44.134000,44.234844
516894,BLU,1.355000,43.364178,43.364179
516922,GRN,1.236000,45.009000,44.984844
517100,BLU,1.220000,44.271000,44.294846
517617,GRN,2.047000,43.779200,43.779203
517775,BLU,1.863000,44.250000,44.334843
517902,BLU,2.588000,43.459000,43.459000
517903,BLU,2.447000,43.676000,44.022786
518135,BLU,1.601000,43.138000,43.138000
518166,BLU,0.424000,43.475000,43.544846
518659,RED,0.979500,-99.000000,nan
519096,BLU,1.797000,44.064365,44.064842
519183,BLU,1.778000,43.767710,44.504845
519447,GRN,1.129000,43.539307,43.754845
519456,BLU,2.051000,44.477000,44.584843
519494,BLU,0.972000,43.402000,43.544846
519821,BLU,1.438000,43.472000,43.774845
520074,BLU,2.423000,43.706000,44.055694
520685,BLU,0.537000,43.019000,43.214844
520729,BLU,1.406000,43.769615,43.774845
520769,BLU,1.681000,43.866425,43.866426
520772,RED,3.079400,-99.000000,nan
520863,RED,1.204600,-99.000000,nan
520908,RED,3.590500,-99.000000,nan
521042,BLU,1.414000,43.167000,43.566027
521162,BLU,1.237000,43.088696,43.088695
521908,GRN,1.921000,44.545000,44.624844
521987,RED,1.697100,-99.000000,nan
522060,BLU,1.917000,43.820000,43.934845
522252,BLU,1.269000,43.122000,43.794846
522300,BLU,1.762000,43.769268,43.769267
522534,BLU,0.607000,43.052000,43.124844
523113,BLU,0.700000,43.838000,43.804844
523256,BLU,0.886000,43.773970,43.894844
523378,BLU,1.793000,43.340000,43.340000
524280,BLU,2.798000,44.792540,44.864845
524890,RED,3.014200,-99.000000,nan
526106,GRN,2.269000,44.072000,44.514843
526158,RED,4.110200,-99.000000,nan
526232,BLU,1.216000,43.109000,43.479592
526303,BLU,1.843000,44.224000,44.324844
526398,BLU,2.250000,44.147000,44.374844
526818,BLU,0.573000,43.463680,43.314842
527724,BLU,0.945000,43.531662,43.484844
527892,BLU,2.682000,44.359543,44.544846
528135,GRN,1.923000,43.853848,43.853848
528339,BLU,1.080000,43.357000,43.554844
529336,GRN,2.323000,44.874000,45.044846
529468,BLU,2.909000,44.524670,45.084843
529584,GRN,2.182000,43.388000,43.663725
529855,GRN,0.360000,43.450000,43.454846
530363,GRN,1.053000,43.848698,43.914845
530617,BLU,1.244000,43.104000,43.398992
530790,GRN,2.288000,44.959000,45.034844
530898,RED,2.883100,-99.000000,nan
530939,BLU,1.551000,43.984150,43.984149
530967,BLU,0.740000,43.237000,43.394844
531730,BLU,1.826000,43.455000,43.455002
531775,BLU,1.770000,43.583000,44.244843
532152,BLU,2.430000,43.855392,43.855394
532321,BLU,0.686000,43.845000,43.864845
532384,BLU,1.245000,43.841602,44.174843
532685,BLU,2.613000,44.080000,44.384842
532786,GRN,2.214000,44.136530,44.136532
533239,BLU,0.479000,43.161000,43.144844
533666,GRN,0.899000,43.834000,43.924843
533672,BLU,1.263000,43.584000,43.684845
534026,GRN,1.914000,44.596000,44.674843
534119,GRN,1.213000,43.770454,43.974842
534189,BLU,1.828000,43.463000,43.463001
534215,BLU,1.435000,43.698210,44.594845
534240,BLU,1.827000,43.566284,43.566283
534284,RED,0.850000,-99.000000,nan
534286,BLU,1.784000,43.852665,43.852663
534652,RED,2.445700,-99.000000,nan
534811,BLU,1.054000,43.713000,43.894844
534850,GRN,1.845000,43.950520,43.974842
534983,BLU,2.226000,44.302000,44.424843
536192,BLU,2.048000,44.514000,44.624844
536268,RED,1.476400,-99.000000,nan
536362,RED,1.256300,-99.000000,nan
536630,GRN,2.572000,44.106000,44.105999
536673,GRN,1.727000,43.262000,43.483850
536989,BLU,1.092000,43.000263,43.000264
537336,BLU,1.630000,43.159714,43.159714
537639,BLU,1.698000,43.679000,44.024845
537774,GRN,2.164000,44.332428,44.564842
538906,GRN,2.194000,44.514370,44.694843
539141,BLU,2.188000,44.315000,44.354843
539307,BLU,1.813000,43.850000,44.164845
539350,RED,1.011400,-99.000000,nan
539583,GRN,0.985000,43.996000,44.004845
539736,BLU,2.146000,44.268810,44.504845
540730,BLU,0.891000,43.116985,43.614845
540943,BLU,1.115000,43.700140,43.804844
541230,BLU,1.701000,43.664000,44.014843
541366,BLU,0.954000,43.192000,43.576051
541434,BLU,2.693000,44.079945,44.644844
541777,RED,1.726800,-99.000000,nan
541830,BLU,2.018000,44.048943,44.664845
541867,RED,2.602000,-99.000000,nan
541945,RED,1.050900,-99.000000,nan
541957,RED,2.703800,-99.000000,nan
541990,BLU,2.235000,43.738000,44.294846
542389,BLU,1.774000,44.235000,44.324844
542444,RED,1.251400,-99.000000,nan
542937,RED,2.059300,-99.000000,nan
543174,RED,0.471500,-99.000000,nan
543209,RED,0.288600,-99.000000,nan
