ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      687415,BLU,  1.74500, 43.88368, 45.42484, 43.36400,      NaN, 43.66229, 22.42956,  1.41962,  0.40065, 45.42484, 24.74660,  0.34557,  0.24490
      688939,BLU,  1.74300, 44.57953, 44.34484, 44.10000,      NaN, 44.24680, 21.69931,  4.05646,  0.34611, 44.34484, 22.20605,  1.85615,  0.40632
      688836,BLU,  1.12700, 44.12844, 43.98484, 43.83600,      NaN, 43.86789, 21.13942,  5.24337,  0.13010, 43.98484, 21.70999,  4.01653,  0.34443
      688531,BLU,  1.06300, 43.90723, 43.63484, 43.16700,      NaN, 43.68207, 23.03873,  0.62304,  0.34150, 43.63484, 22.93241,  0.69234,  0.35786
      688717,BLU,  1.98700, 42.82262, 43.29100, 43.29100,      NaN, 42.77100, 21.00000,  0.00000,  0.00000, 43.29100, 21.00000,  5.58902,  0.00000
      689758,BLU,  1.12300, 44.48169, 44.14484, 43.91700,      NaN, 44.16462, 22.21956,  1.89171,  0.40314, 44.14484, 22.12325,  2.00113,  0.40303
      690548,BLU,  1.08900, 43.99243, 43.61485, 43.01100,      NaN, 43.75364, 23.42128,  0.36410,  0.25247, 43.61485, 23.21048,  0.48964,  0.30037
      691398,BLU,  0.96700, 44.45604, 44.09484, 43.62800,      NaN, 44.14307, 23.03873,  0.61868,  0.33622, 44.09484, 22.92993,  0.73164,  0.36059
      691521,BLU,  1.02100, 44.29613, 43.99484, 43.78700,      NaN, 44.00875, 22.09356,  2.33203,  0.39852, 43.99484, 22.02585,  2.50266,  0.39285
      691906,BLU,  1.81200, 44.81009, 44.41484, 44.09000,      NaN, 44.43404, 22.58996,  1.15612,  0.39290, 44.41484, 22.52900,  1.25303,  0.39870
      691252,BLU,  1.18800, 44.05833, 44.31484, 44.18600,      NaN, 43.80899, 21.00000,  0.00000,  0.00000, 44.31484, 21.60545,  4.18087,  0.32429
      692020,BLU,  0.98200, 43.94251, 43.05400, 43.05400,      NaN, 43.71171, 23.29839,  0.42817,  0.28208, 43.05400, 21.00000,  5.46222,  0.00948
      692136,BLU,  1.64000, 44.56975, 43.42238, 43.20700,      NaN, 44.23859, 23.74307,  0.21722,  0.18567, 43.42238, 22.06257,  2.33976,  0.39736
      692485,BLU,  0.94900, 43.72249, 43.60484, 43.17200,      NaN, 43.52689, 22.62443,  1.12457,  0.39437, 43.60484, 22.84546,  0.82505,  0.37251
      692317,BLU,  2.01700, 44.32700, 44.38484, 44.28000,      NaN, 44.03468, 21.00000,  0.00000,  0.00000, 44.38484, 21.48144,  4.67119,  0.29839
      692714,BLU,  1.33000, 44.62055, 44.45485, 44.16600,      NaN, 44.28126, 21.53448,  4.47524,  0.30945, 44.45485, 22.39138,  1.45952,  0.40246
      689230,BLU,  2.66500, 44.84136, 44.66484, 44.46400,      NaN, 44.44654, 21.00000,  4.45470,  0.00000, 44.66484, 21.99082,  2.77963,  0.38841
      692398,BLU,  1.79600, 44.82096, 44.80484, 44.45300,      NaN, 44.43838, 21.00000,  4.45418,  0.00000, 44.80484, 22.61477,  1.08774,  0.39290
      693134,BLU,  1.48400, 44.15428, 43.35500, 43.35500,      NaN, 43.88959, 23.07650,  0.58616,  0.33198, 43.35500, 21.00000,  5.74718,  0.00000
      693284,BLU,  1.43800, 44.14651, 43.02400, 43.02400,      NaN, 43.88307, 23.56428,  0.30126,  0.22174, 43.02400, 21.00000,  5.35990,  0.00000
      693513,BLU,  1.53000, 44.92394, 44.89484, 44.80000,      NaN, 44.47957, 21.00000,  0.00000,  0.00000, 44.89484, 21.43288,  4.91018,  0.27577
      693350,BLU,  1.09000, 44.52516, 43.75484, 43.52800,      NaN, 44.20113, 23.32070,  0.41944,  0.28111, 43.75484, 22.11838,  2.40023,  0.39886
      694327,BLU,  1.09200, 43.73364, 43.56484, 43.48300,      NaN, 43.53625, 21.23280,  5.68443,  0.17460, 43.56484, 21.36973,  5.10392,  0.25431
