ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN,LOG_NH_COSMOS
962990,RED,1.4369,44.74573,nan,nan,42.90148,44.38641,24.08653,0.2064,0.1415,44.38641,24.08653,0.20593,0.14016,nan
963352,BLU,2.279,45.29044,44.052,44.052,nan,44.62617,23.15308,0.54274,0.31498,44.052,21.0,5.78185,0.00067,23.367355913072082
963819,BLU,1.295,43.54142,43.5675,43.286,nan,43.37479,21.40348,4.99859,0.26927,43.5675,22.36168,1.55933,0.40227,22.210586008768775
963837,BLU,1.5,44.60537,44.16484,44.05,nan,44.26851,22.07781,2.33941,0.39842,44.16484,21.5323,4.26006,0.3118,24.07554694847251
964436,BLU,1.857,44.51881,45.52485,44.102,nan,44.1958,21.42782,4.93735,0.27674,45.52485,24.04174,0.20231,0.14437,22.47856710586678
964637,BLU,0.864,43.74809,43.45485,43.259,nan,43.54839,22.3936,1.47764,0.40212,43.45485,21.96368,2.8041,0.38564,23.083502617943548
964780,BLU,1.381,43.89275,43.97484,43.813,nan,43.66991,21.0,0.70348,0.0,43.97484,21.77901,3.65345,0.36191,nan
964942,BLU,1.308,43.82311,44.38484,43.799,nan,43.61141,21.0,0.25879,0.0,44.38484,23.17565,0.52088,0.31121,nan
965224,BLU,1.246,43.88125,43.694,43.694,nan,43.66025,21.0,3.68893,0.0,43.694,21.0,5.23621,0.00357,22.87616008887545
965226,BLU,1.453,43.96391,43.631,43.631,nan,43.72968,21.45152,4.94393,0.28296,43.631,21.0,5.20389,0.0,22.864214334464926
965936,RED,1.2612,45.01569,nan,nan,42.56621,44.51628,24.53482,0.80843,0.21148,44.51628,24.53482,0.81222,0.20974,nan
966231,BLU,2.387,44.42944,44.46484,44.065,nan,44.12072,21.24361,5.20561,0.18082,44.46484,22.76349,0.93198,0.38294,22.904877739848605
966326,RED,1.7868,43.40232,nan,nan,42.83803,43.25795,22.81337,0.86217,0.37618,43.25795,22.81337,0.85315,0.37662,nan
966600,RED,2.1748,45.64026,nan,nan,43.23762,44.7661,24.11795,0.23418,0.14096,44.7661,24.11795,0.22789,0.14221,nan
966659,BLU,1.904,44.70958,44.58484,44.146,nan,44.35605,22.03658,2.35874,0.39577,44.58484,22.86037,0.81334,0.36699,21.806180211893142
966973,GRN,3.038,45.85053,45.03484,44.877,nan,44.85021,21.0,4.12786,0.0,45.03484,21.75729,3.56843,0.36035,22.890012788822368
967157,RED,0.2269,43.48365,nan,nan,40.80161,43.32626,25.0,0.0,0.0,43.32626,25.0,0.0,0.0,nan
967345,RED,2.0183,44.95643,nan,nan,43.18173,44.49257,23.95857,0.20232,0.14756,44.49257,23.95857,0.20654,0.1447,nan
967393,BLU,2.344,44.30526,44.17484,43.858,nan,44.01642,21.7604,3.65402,0.3619,44.17484,22.50357,1.30593,0.40099,23.26717172934257
967738,BLU,0.807,43.4876,43.39484,43.463,nan,43.32958,21.0,0.79491,0.0,43.39484,21.0,2.43485,0.0,23.20809181672235
968194,BLU,2.553,45.14503,44.08201,43.924,nan,44.56801,23.27856,0.44304,0.28879,44.08201,21.75822,4.03568,0.35359,22.784189212979513
968549,GRN,2.091,45.17815,43.70867,43.423,nan,44.58126,23.84181,0.21773,0.16251,43.70867,22.37854,1.54469,0.40018,23.68663624514142
969164,RED,1.9497,44.28136,nan,nan,42.6647,43.99634,23.97448,0.20569,0.14428,43.99634,23.97448,0.20662,0.14535,nan
969348,BLU,1.271,43.52229,43.80484,43.229,nan,43.35873,21.61007,4.07795,0.3335,43.80484,23.15631,0.52945,0.31487,22.193653233131464
969735,BLU,1.896,44.73946,44.12247,43.984,nan,44.38114,22.75678,0.90559,0.38448,44.12247,21.65574,4.12759,0.34224,22.340899950512213
969737,BLU,0.85,44.09117,44.30484,44.001,nan,43.83658,21.0,0.40102,0.0,44.30484,22.45201,1.4257,0.40058,23.999565487599263
969825,BLU,4.846,45.77028,44.48366,44.283,nan,44.81811,23.0775,0.58376,0.3293,44.48366,21.98981,2.5979,0.39044,23.4014005373579
970077,BLU,0.665,43.80945,43.21484,43.181,nan,43.59994,22.81092,0.82823,0.3817,43.21484,21.14795,5.8684,0.10914,21.89762727600853
