ID,i COSMOS2020, i CHANDRA 2016
1030922,1522661,3771
1036595,1528471,3799
1037540,1529409,3677
1041483,1535228,3410
1044729,1540059,3563
1044900,1540437,2466
1055541,1556044,3555
1057210,1557762,3302
1060508,1562636,3813
1061421,1564057,3062
1069258,1574711,3425
1083894,1591972,3535
1094060,1602800,3585
1107395,1609534,3552
